Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,30th percentile,Median,Upper quartile
DA15,Three Bedrooms,10,"1,426","1,350","1,375","1,438","1,525"
DA15,Four or More Bedrooms,10,"1,914","1,700","1,750","1,750","2,100"
DA16,Room,0,.,.,.,.,.
DA16,Studio,-,..,..,..,..,..
DA16,One Bedroom,10,893,850,850,875,925
DA16,Two Bedrooms,20,"1,220","1,100","1,125","1,213","1,350"
DA16,Three Bedrooms,30,"1,368","1,275","1,300","1,400","1,450"
DA16,Four or More Bedrooms,10,"1,688","1,695","1,695","1,700","1,750"
DA17,Room,0,.,.,.,.,.
DA17,Studio,0,.,.,.,.,.
DA17,One Bedroom,20,865,825,850,875,925
DA17,Two Bedrooms,30,"1,088","1,000","1,000","1,100","1,175"
DA17,Three Bedrooms,10,"1,316","1,200","1,300","1,300","1,400"
DA17,Four or More Bedrooms,-,..,..,..,..,..
DA18,Room,0,.,.,.,.,.
DA18,Studio,0,.,.,.,.,.
DA18,One Bedroom,-,..,..,..,..,..
DA18,Two Bedrooms,-,..,..,..,..,..
DA18,Three Bedrooms,20,"1,135","1,080","1,131","1,141","1,200"
DA18,Four or More Bedrooms,10,"1,289","1,245","1,245","1,285","1,349"
DA5,Room,0,.,.,.,.,.
DA5,Studio,0,.,.,.,.,.
DA5,One Bedroom,10,"1,052",898,900,"1,000","1,200"
DA5,Two Bedrooms,30,"1,151","1,050","1,100","1,200","1,250"
DA5,Three Bedrooms,10,"1,506","1,450","1,450","1,500","1,550"
DA5,Four or More Bedrooms,10,"2,086","1,800","2,000","2,100","2,200"
DA6,Room,0,.,.,.,.,.
DA6,Studio,10,751,725,725,725,775
DA6,One Bedroom,20,875,850,850,900,925
DA6,Two Bedrooms,20,"1,139","1,090","1,095","1,113","1,250"
DA6,Three Bedrooms,10,"1,357","1,200","1,263","1,363","1,550"
DA6,Four or More Bedrooms,-,..,..,..,..,..
DA7,Room,0,.,.,.,.,.
DA7,Studio,-,..,..,..,..,..
DA7,One Bedroom,-,..,..,..,..,..
DA7,Two Bedrooms,40,"1,072","1,000","1,020","1,075","1,110"
DA7,Three Bedrooms,20,"1,400","1,300","1,345","1,400","1,450"
DA7,Four or More Bedrooms,10,"1,727","1,500","1,650","1,695","1,950"
DA8,Room,10,597,492,492,542,667
DA8,Studio,-,..,..,..,..,..
DA8,One Bedroom,20,776,750,750,750,825
DA8,Two Bedrooms,50,"1,055",950,990,"1,050","1,150"
DA8,Three Bedrooms,20,"1,300","1,250","1,250","1,300","1,350"
DA8,Four or More Bedrooms,10,"1,497","1,450","1,450","1,500","1,650"
E1,Room,10,626,552,567,612,692
E1,Studio,20,"1,420","1,100","1,150","1,350","1,733"
E1,One Bedroom,180,"1,668","1,402","1,473","1,590","1,737"
E1,Two Bedrooms,210,"2,111","1,700","1,736","1,898","2,383"
E1,Three Bedrooms,50,"2,404","2,050","2,150","2,300","2,512"
